user_ID,name,affiliation
Re819VUAAAAJ,sandhya Babel,"Professor, Sirindhorn International Institute of Technology, Thammasat University"
97Zz_TIAAAAJ,Sombat Muengtaweepongsa,Thammasat University
u-vl_aIAAAAJ,Wutiphol Sintunavarat,"Department of Mathematics and Statistics, Faculty of Science and Technology, Thammasat …"
9bUei6wAAAAJ,Bunyarit Uyyanonvara,"Associated Professor, SIIT, Thammasat University"
UOeuXvQAAAAJ,Chanathip Namprempre,"Assistant Professor, Thammasat University"
82GqezQAAAAJ,Prof.Tritos Laosirihongthong,"Department of Industrial Engineering, Faculty of Engineering, Thammasat University …"
YMLTjlQAAAAJ,Kriengsak Panuwatwanich,"Associate Professor, Sirindhorn International Institute of Technology, Thammasat University"
PLcJne4AAAAJ,Sakun Boon-itt,"Professor of Operations Management, Thammasat Business School"
yGhz_1oAAAAJ,Juthathip Jongwanich,"Faculty of Economics, Thammasat University"
I2lBB5YAAAAJ,"Kritsadarat Wattanasuwan, DPhil (Oxon)","Thammasat Business School, Thammasat University, Bangkok Thailand"
debyzkIAAAAJ,Bundit Limmeechokchai,"Sirindhorn International Institute of Technology, THAMAMSAT University"
JGJNbjIAAAAJ,Ruth Banomyong,"Thammasat Business School, Thammasat University"
UfE8D-AAAAAJ,Archanun Kophaiboon,"Faculty of Economics, Thammasat University"
aVwwa_0AAAAJ,Nurak Grisdanurak,"Chemical Engineering Dept., Thammasat University"
91yGxx0AAAAJ,Paiboon Sreearunothai,Sirindhorn International Institute of Technology
HD7tStUAAAAJ,Chanatip Samart,Thammasat University
SMJ2150AAAAJ,Stanislav Makhanov,"Professor Sirindhorn International Institute of Technology, Thammasat University"
O4WHKcYAAAAJ,Prof. Dr. Chaosuan Kanchanomai,"Department of Mechanical Engineering, Thammasat University, Thailand"
QL5Hx5gAAAAJ,Kongkiat Kulkantrakorn,Thammasat University
I5F9jrQAAAAJ,Thanaruk Theeramunkong,Sirindhorn International Institute of Technology
