user_ID,name,affiliation
Re819VUAAAAJ,sandhya Babel,"Professor, Sirindhorn International Institute of Technology, Thammasat University"
97Zz_TIAAAAJ,Sombat Muengtaweepongsa,Thammasat University
u-vl_aIAAAAJ,Wutiphol Sintunavarat,"Department of Mathematics and Statistics, Faculty of Science and Technology, Thammasat …"
9bUei6wAAAAJ,Bunyarit Uyyanonvara,"Associated Professor, SIIT, Thammasat University"
UOeuXvQAAAAJ,Chanathip Namprempre,"Assistant Professor, Thammasat University"
82GqezQAAAAJ,Prof.Tritos Laosirihongthong,"Department of Industrial Engineering, Faculty of Engineering, Thammasat University …"
YMLTjlQAAAAJ,Kriengsak Panuwatwanich,"Associate Professor, Sirindhorn International Institute of Technology, Thammasat University"
PLcJne4AAAAJ,Sakun Boon-itt,"Professor of Operations Management, Thammasat Business School"
yGhz_1oAAAAJ,Juthathip Jongwanich,"Faculty of Economics, Thammasat University"
I2lBB5YAAAAJ,"Kritsadarat Wattanasuwan, DPhil (Oxon)","Thammasat Business School, Thammasat University, Bangkok Thailand"
debyzkIAAAAJ,Bundit Limmeechokchai,"Sirindhorn International Institute of Technology, THAMAMSAT University"
JGJNbjIAAAAJ,Ruth Banomyong,"Thammasat Business School, Thammasat University"
UfE8D-AAAAAJ,Archanun Kophaiboon,"Faculty of Economics, Thammasat University"
aVwwa_0AAAAJ,Nurak Grisdanurak,"Chemical Engineering Dept., Thammasat University"
91yGxx0AAAAJ,Paiboon Sreearunothai,Sirindhorn International Institute of Technology
HD7tStUAAAAJ,Chanatip Samart,Thammasat University
SMJ2150AAAAJ,Stanislav Makhanov,"Professor Sirindhorn International Institute of Technology, Thammasat University"
O4WHKcYAAAAJ,Prof. Dr. Chaosuan Kanchanomai,"Department of Mechanical Engineering, Thammasat University, Thailand"
QL5Hx5gAAAAJ,Kongkiat Kulkantrakorn,Thammasat University
I5F9jrQAAAAJ,Thanaruk Theeramunkong,Sirindhorn International Institute of Technology
p-WB_8kAAAAJ,Cattaleeya Pattamaprom,Thammasat University
KhTCPuEAAAAJ,Sanya Mitaim,"Associate Professor, Thammasat University"
n5NQxncAAAAJ,Thawatchai Onjun,Sirindhorn International Institute of Technology
SaeC_isAAAAJ,Siriwan Suebnukarn,Professor at Thammasat University
iaKJpjwAAAAJ,Peter Ractham,Thammasat Business School
R2R8ECAAAAAJ,Junya Pattaraarchachai,Thammasat University
uKVBN38AAAAJ,Piyanuch Kongtim,Thammasat University
tfqcJY0AAAAJ,Peerasak Paoprasert,Associate Professor at Thammasat University
QHoiqrEAAAAJ,Suraparb Keawsawasvong,Thammasat University
Xa3otrYAAAAJ,Kasidit Chanchio,Thammasat University
iB7D6X4AAAAJ,Preeti Ovartchaiyapong,Thammasat University
0nE6sE8AAAAJ,Assoc. Prof. Dr. Pakorn Opaprakasit,"Sirindhorn International Institute of Technology (SIIT), Thammasat University,Thailand"
0ObmHVgAAAAJ,Amin Eisazadeh (Assistant Professor (Dr.)),"Sirindhorn International Institute of Technology, Thammasat University"
SB62Tf4AAAAJ,Boonchoy Soontornworajit,"Department of Chemistry, Faculty of Science and Technology, Thammasat University"
M8a85U0AAAAJ,Professor Dr. Pusit Lertwattanaruk,"Faculty of Architecture and Planning, Thammasat University"
BDBDmcUAAAAJ,Yingyot Infahsaeng,"Lecturer at Department of Physics, Thammasat University"
ivPZuB0AAAAJ,Pruettha Nanakorn,"Professor, Sirindhorn International Institute of Technology, Thammasat University, Thailand"
qKEHgQsAAAAJ,Anya Khanthavit,"Distinguished Professor of Finance and Banking, Thammasat University"
gfGF_YoAAAAJ,Aussadavut Dumrongsiri,"Sirindhorn International Institute of Technology, Thammasat University"
96Dqe64AAAAJ,Bharat Dahiya,"College of Interdisciplinary Studies, Thammasat University, Bangkok, Thailand"
6dDRiEoAAAAJ,pornchai chunhachinda,Professor of Finance Thammasat University
wvWCuA0AAAAJ,Kasian Tejapira,"Professor of Political Science, Thammasat University"
HTwbrIkAAAAJ,Jirachai Buddhakulsomsiri,"Sirindhorn International Institute of Technology, Thammasat University"
M12Q8-MAAAAJ,Songyot Nakariyakul,"Associate Professor of Electrical and Computer Engineering, Thammasat University"
BWM1T2EAAAAJ,Pavida Pananond,"Thammasat Business School, Thammasat University, Bangkok, Thailand"
TopHIDwAAAAJ,Mongkut Piantanakulchai,"Sirindhorn International Institute of Technology, Thammasat University"
Ego6Y3IAAAAJ,Mathupayas Thongmak,Thammasat Business School
rzHSMQ8AAAAJ,Natthapon Nakpathomkun,Thammasat University
5IToUsoAAAAJ,Kittipat Malakit,Thammasat University
ijKtwqsAAAAJ,"Banlue Srisuchinwong, PhD","Sirindhorn International Institute of Technology, Thammasat University"
71ebhj8AAAAJ,Chayanin Angthong,"Department of Orthopaedics, Thammasat University"
BATHSXAAAAAJ,Nopadol Rompho,Thammasat University
Y3NQ8fkAAAAJ,Itthisek Nilkhamhang,Sirindhorn International Institute of Technology
Gx8EJKYAAAAJ,Dr. Khanin Nueangnoraj,"Sirindhorn International Institute of Technolgy, Thammasat University, Thailand"
80Kis_AAAAAJ,Vikanda Pornsakulvanich,Thammasat University
-BiqpXEAAAAJ,Dr. Pholawat Tingpej,Thammasat University
W8l_dqIAAAAJ,Dr.Somnuk Tangtermsirikul,"Professor, Sirindhorn International Institute of Technology, Thammasat University"
04YlgK8AAAAJ,Kriengkrai Techakanont,"Associate Professor, Faculty of Economics, Thammasat University"
ZFvvmbYAAAAJ,Phatthanakit Chobthamkit,Thammasat University
DrRm-zUAAAAJ,Siriluck Rotchankitumnuai,"Thammasat Business School, Thammasat University"
Y2rA2nMAAAAJ,supakorn phoocharoensil,"Language Institute, Thammasat University"
jkZpNuYAAAAJ,Manat Srivanit,"Assistant Professor of City Planning, Faculty of Architecture and Planning, Thammasat …"
Y9_i9IoAAAAJ,Prof.Dr. Orapan Poachanukoon,"Faculty of Medicine, Thammasat University"
G03mmSIAAAAJ,Watit Pakdee,Thammasat University
4DZaRGYAAAAJ,Rathapon Asasutjarit,Thammasat University
J8H8WbAAAAAJ,Aurathai Lertwannawit,"Associate Professor in Business Administration, Marketing Department, Thammasat …"
ySezUucAAAAJ,Cholwich Nattee,"Sirindhorn International Institute of Technology, Thammasat University"
gf-vn2oAAAAJ,Asst.Prof.Dr. Kom Campiranon,"College of Innovation, Thammasat University"
GuALoboAAAAJ,Patcharee Kooncumchoo,"Asst.Professor of Physical Therapy, Thammasat University"
ytwnqaYAAAAJ,Sirima Mongkolsomlit,"Faculty of Public Health, Thammasat University"
FeSYQ9UAAAAJ,Jirapon Sunkpho,Thammasat University
35ESlEcAAAAJ,Ratchata Peachavanish,Thammasat University
VWv6qfIAAAAJ,Somboon Kulvisaechana,Thammasat Business School
7FSes-sAAAAJ,Supenya Chittapun,Thammasat University
agRE3Q4AAAAJ,Natenapha Yabushita,Thammasat University
KbyVPr4AAAAJ,somsak vongpradubchai,"Lecture, Faculty of Engineering, Thammasat University (Rangsit Campus)"
fSuRF4gAAAAJ,Charturong Tantibundhit,"Associate Professor of Electrical and Computer Engineering, Thammasat University"
P6o3R6cAAAAJ,sudaporn Sudprasert,Thammasat University
SKd9C_QAAAAJ,Muthita Phanasathit,Thammasat University
XyYldawAAAAJ,Somchart Fugkeaw,"Sirindhorn Institute of Technology, Thammasat University"
v_ETD68AAAAJ,Paiboon Nakmahachalasint,Thammasat University
zYs7N1AAAAAJ,Tareq Hossain,"Lecturer, Thammasat Business School"
PF7C904AAAAJ,Nichaphat Thongsai,"Ph.D. at Department of Chemistry, Thammasat University"
yIpiYE0AAAAJ,Timo Ojanen,"Faculty of Learning Sciences and Education, Thammasat University"
DA9lAfYAAAAJ,Kittipong Chainok,Thammasat University
OsvbnKAAAAAJ,Watchaneeporn Setthasakko,"Thammasat Business School, Thammasat University"
9qwG-5sAAAAJ,Onjira Sitthisak,"Department of Computer Science, Faculty of Science and Technology,Thammasat …"
utSFHHAAAAAJ,Isares Dhuchakallaya,Thammasat University
fgXGb-oAAAAJ,Thongchai Kanabkaew,Thammasat University
-Nyu6C8AAAAJ,Pantisa Pavabutr,Thammasat Business School
FKGmS7gAAAAJ,pichai aree,Thammasat University
BSB3qsUAAAAJ,Sathaporn Opasanon,"Associate Professor of Commerce and Accountancy, Thammasat University"
fdxbFp4AAAAJ,Paolo Bertozzini,"Foreign Expert, Department of Mathematics and Statistics, Thammasat University"
dno5C6MAAAAJ,Patcharee Isarankura-Na-Ayudhya,Thammasat University
bkSJ0TwAAAAJ,Somchai Supattarakul,"Thammasat Business School, Thammasat University"
eY0qi74AAAAJ,Suparuj Lueangarun,"Assistant Professor, Division of Dermatology,  Chulabhorn International College of Medicine …"
VG8fTU0AAAAJ,John Winward,"lecturer, Thammasat University"
7cwN7dIAAAAJ,Prajak Kongkirati,"Faculty of Political Science, Thammasat University"
