title,authors,publication_date,description,cite_by
Low-cost adsorbents for heavy metals uptake from contaminated water: a review,"Sandhya Babel, Tonni Agustiono Kurniawan",2003/2/28,-,3991
Physico–chemical treatment techniques for wastewater laden with heavy metals,"Tonni Agustiono Kurniawan, Gilbert YS Chan, Wai-Hung Lo, Sandhya Babel",2006/5/1,-,1960
Cr (VI) removal from synthetic wastewater using coconut shell charcoal and commercial activated carbon modified with oxidizing agents and/or chitosan,"Sandhya Babel, Tonni Agustiono Kurniawan",2004/2/1,-,948
Comparisons of low-cost adsorbents for treating wastewaters laden with heavy metals,"Tonni Agustiono Kurniawan, Gilbert YS Chan, Wai-hung Lo, Sandhya Babel",2006/8/1,-,804
Equilibrium and kinetic modelling of biosorption of Remazol Black B by Rhizopus arrhizus in a batch system: effect of temperature,"Zümriye Aksu, Sevilay Tezer",2000/12/1,-,580
Heavy metal removal from contaminated sludge for land application: a review,"Sandhya Babel, Dominica del Mundo Dacera",2006/1/1,-,337
Microfiltration membrane fouling and cake behavior during algal filtration,"Sandhya Babel, Satoshi Takizawa",2010/10/15,-,167
A matrix in life cycle perspective for selecting sustainable materials for buildings in Sri Lanka,"UG Yasantha Abeysundara, Sandhya Babel, Shabbir Gheewala",2009/5/1,-,152
Effect of acid speciation on solid waste liquefaction in an anaerobic acid digester,"Sandhya Babel, Kensuke Fukushi, Bunpot Sitanrassamee",2004/5/1,-,143
Factors affecting seasonal variation of membrane filtration resistance caused by Chlorella algae,"Sandhya Babel, Satoshi Takizawa, Hiroaki Ozaki",2002/3/1,-,111
Removal of Cr from synthetic wastewater by sorption into volcanic ash soil,"Sandhya Babel, Einstine M Opiso",2007/12/1,-,108
Anaerobic co-digestion of sewage and brewery sludge for biogas production and land application,"Sandhya Babel, Jenjira Sae-Tang, Athapol Pecharaply",2009/12/1,-,90
Rapid enhanced photocatalytic degradation of dyes using novel N-doped ZrO2,"Hanggara Sudrajat, Sandhya Babel, Hiroshi Sakai, Satoshi Takizawa",2016/1/1,-,80
Procion Green H-4G immobilized poly (hydroxyethylmethacrylate/chitosan) composite membranes for heavy metal removal,"Ö Genç, L Soysal, G Bayramoğlu, MY Arıca, S Bektaş",2003/2/28,-,75
Various treatment technologies to remove arsenic and mercury from contaminated groundwater: an overview,"S Babel, TA Kurniawan",2005/12/1,-,67
Chemical pretreatment for reduction of membrane fouling caused by algae,"Sandhya Babel, Satoshi Takizawa",2011/7/1,-,64
Sustainable utilization of waste palm oil and sulfonated carbon catalyst derived from coconut meal residue for biodiesel production,"Indika Thushari, Sandhya Babel",2018/1/1,-,63
A research study on Cr (VI) removal from contaminated wastewater using low-cost adsorbents and commercial activated carbon,"TA Kurniawan, S Babel",2003/2,-,63
Survival of Salmonella spp. in a simulated acid-phase anaerobic digester treating sewage sludge,"K Fukushi, Sandhya Babel, S Burakrai",2003/1/1,-,62
Removal of heavy metals from contaminated sewage sludge using Aspergillus niger fermented raw liquid from pineapple wastes,"Dominica Del Mundo Dacera, Sandhya Babel",2008/4/1,-,60
"Nitrogen, phosphorus and silicon uptake kinetics by marine diatom Chaetoceros calcitrans under high nutrient concentrations","Chayarat Tantanasarit, Andrew J Englande, Sandhya Babel",2013/8/1,-,53
"Ultrasonic pretreatment of palm oil mill effluent: Impact on biohydrogen production, bioelectricity generation, and underlying microbial communities","Emmanuel P Leano, Alfredo J Anceno, Sandhya Babel",2012/9/1,-,50
Effects of pretreatment methods on cassava wastewater for biohydrogen production optimization,"EP Leaño, Sandhya Babel",2012/3/1,-,48
Potential for land application of contaminated sewage sludge treated with fermented liquid from pineapple wastes,"Dominica Del Mundo Dacera, Sandhya Babel, Preeda Parkpian",2009/8/15,-,46
"Environmental, economic and social analysis of materials for doors and windows in Sri Lanka","UG Yasantha Abeysundra, Sandhya Babel, Shabbir Gheewala, Alice Sharp",2007/5/1,-,44
Rapid photocatalytic degradation of the recalcitrant dye amaranth by highly active N-WO 3,"Hanggara Sudrajat, Sandhya Babel",2016/6,-,43
Use of citric acid for heavy metals extraction from contaminated sewage sludge for land application,"Dominica del Mundo Dacera, Sandhya Babel",2006/11,-,43
Treatment of natural rubber processing wastewater by combination of ozonation and activated sludge process,"Sandhya Babel, Nonglak Rungruang",2008,-,39
A research study on Cr (VI) removal from contaminated wastewater using natural zeolite,"Sandhya Babel, Tonni Agustiono Kurniawan",2003/7/14,-,38
"A new, cost-effective solar photoactive system N-ZnO@ polyester fabric for degradation of recalcitrant compound in a continuous flow reactor","Hanggara Sudrajat, Sandhya Babel",2016/11/1,-,37
Biodiesel production in an autoclave reactor using waste palm oil and coconut coir husk derived catalyst,"Indika Thushari, Sandhya Babel, Chanatip Samart",2019/4/1,-,36
A novel visible light active N-doped ZnO for photocatalytic degradation of dyes,"Hanggara Sudrajat, Sandhya Babel",2017/4/1,-,34
Comparison and mechanism of photocatalytic activities of N-ZnO and N-ZrO 2 for the degradation of rhodamine 6G,"Hanggara Sudrajat, Sandhya Babel",2016/5,-,31
Durability of nano-enhanced textiles through the life cycle: releases from landfilling after washing,"Denise M Mitrano, Pawena Limpiteeprakan, Sandhya Babel, Bernd Nowack",2016,-,30
Stability of La dopants in NaTaO3 photocatalysts,"Hanggara Sudrajat, Sandhya Babel, Indika Thushari, Kritapas Laohhasurayotin",2019/2/15,-,27
Influence of size and density on filtration rate modeling and nutrient uptake by green mussel (Perna viridis),"Chayarat Tantanasarit, Sandhya Babel, Andrew J Englande, Shettapong Meksumpun",2013/3/15,-,27
"Greenhouse gas emissions from municipal solid waste management in Vientiane, Lao PDR","Sandhya Babel, Xaysackda Vilaysouk",2016/1,-,24
Effect of heating processes on Salvadora persica (Miswak) and its application for removal and determination of aniline blue from wastewater,EA Moawed,2013/1/1,-,23
An innovative solar photoactive system N-WO3@ polyester fabric for degradation of amaranth in a thin-film fixed-bed reactor,"Hanggara Sudrajat, Sandhya Babel",2016/5/1,-,22
Effect of leachate loading rate and incubation period on the treatment efficiency by <i>T. versicolor</i> immobilized on foam cubes,"Jenjira Saetang, Sandhya Babel",2009/6/1,-,22
TiO<sub>2</sub> as an effective nanocatalyst for photocatalytic degradation of humic acid in water environment,"Sandhya Babel, Putri A Sekartaji, Hanggara Sudrajat",2017/2/13,-,21
Screening of potential hyperaccumulator for cadmium from contaminated soil,"Nonglak Rungruang, Sandhya Babel, Preeda Parkpian",2011/8/1,-,21
